rank,@title,start_xp,xp to next level,rank when not full,ranke when full,icon,xp_end,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17
19,1stsgt2,234200,23500,RANK_1STSGT,RANK_1STSGT_FULL2,rank_so_1stsgt1,257700,,,,,,20,20,,RANK_1STSGT_FULL_N,
20,1stsgt3,257700,25500,RANK_1STSGT,RANK_1STSGT_FULL3,rank_so_1stsgt1,283200,,,,,,21,21,,RANK_1STSGT_FULL_N,
21,sgtmaj1,283200,27500,RANK_SGTMAJ,RANK_SGTMAJ_FULL,rank_so_sgtmaj1,310700,,,,,,22,22,,RANK_SGTMAJ_FULL,
22,sgtmaj2,310700,29600,RANK_SGTMAJ,RANK_SGTMAJ_FULL2,rank_so_sgtmaj1,340300,,,,,,23,23,,RANK_SGTMAJ_FULL_N,
23,sgtmaj3,340300,31600,RANK_SGTMAJ,RANK_SGTMAJ_FULL3,rank_so_sgtmaj1,371900,,,,,,24,24,,RANK_SGTMAJ_FULL_N,
24,csm1,371900,33600,RANK_CSM,RANK_CSM_FULL,rank_so_cmdsgtmaj1,405500,,,,,,25,25,,RANK_CSM_FULL,
25,csm2,405500,35600,RANK_CSM,RANK_CSM_FULL2,rank_so_cmdsgtmaj1,441100,,,,,,26,26,,RANK_CSM_FULL_N,
26,csm3,441100,38100,RANK_CSM,RANK_CSM_FULL3,rank_so_cmdsgtmaj1,479200,,,,,,27,27,,RANK_CSM_FULL_N,
27,2ndlt1,479200,40600,RANK_2NDLT,RANK_2NDLT_FULL,rank_so_2ndlt1,519800,,,,,,28,28,,RANK_2NDLT_FULL,
28,2ndlt2,519800,43100,RANK_2NDLT,RANK_2NDLT_FULL2,rank_so_2ndlt1,562900,,,,,,29,29,,RANK_2NDLT_FULL_N,
29,2ndlt3,562900,45600,RANK_2NDLT,RANK_2NDLT_FULL3,rank_so_2ndlt1,608500,,,,,,30,30,,RANK_2NDLT_FULL_N,
30,1stlt1,608500,48100,RANK_1STLT,RANK_1STLT_FULL,rank_so_1stlt1,656600,,,,,,31,31,,RANK_1STLT_FULL,
31,1stlt2,656600,50600,RANK_1STLT,RANK_1STLT_FULL2,rank_so_1stlt1,707200,,,,,,32,32,,RANK_1STLT_FULL_N,
32,1stlt3,707200,53600,RANK_1STLT,RANK_1STLT_FULL3,rank_so_1stlt1,760800,,,,,,33,33,,RANK_1STLT_FULL_N,
33,capt1,760800,56600,RANK_CAPT,RANK_CAPT_FULL,rank_so_capt1,817400,,,,,,34,34,,RANK_CAPT_FULL,
34,capt2,817400,59600,RANK_CAPT,RANK_CAPT_FULL2,rank_so_capt1,877000,,,,,,35,35,,RANK_CAPT_FULL_N,
35,capt3,877000,62600,RANK_CAPT,RANK_CAPT_FULL3,rank_so_capt1,939600,,,,,,36,36,,RANK_CAPT_FULL_N,
36,maj1,939600,65600,RANK_MAJ,RANK_MAJ_FULL,rank_so_maj1,1005200,,,,,,37,37,,RANK_MAJ_FULL,
37,maj2,1005200,69100,RANK_MAJ,RANK_MAJ_FULL2,rank_so_maj1,1074300,,,,,,38,38,,RANK_MAJ_FULL_N,
38,maj3,1074300,72600,RANK_MAJ,RANK_MAJ_FULL3,rank_so_maj1,1146900,,,,,,39,39,,RANK_MAJ_FULL_N,
39,ltcol1,1146900,76100,RANK_LTCOL,RANK_LTCOL_FULL,rank_so_ltcol1,1223000,,,,,,40,40,,RANK_LTCOL_FULL,
40,ltcol2,1223000,79600,RANK_LTCOL,RANK_LTCOL_FULL2,rank_so_ltcol1,1302600,,,,,,41,41,,RANK_LTCOL_FULL_N,
41,ltcol3,1302600,83100,RANK_LTCOL,RANK_LTCOL_FULL3,rank_so_ltcol1,1385700,,,,,,42,42,,RANK_LTCOL_FULL_N,
42,ltcol4,1385700,86600,RANK_LTCOL,RANK_LTCOL_FULL4,rank_so_ltcol1,1472300,,,,,,43,43,,RANK_LTCOL_FULL_N,
43,col1,1472300,90100,RANK_COL,RANK_COL_FULL,rank_so_col1,1562400,,,,,,44,44,,RANK_COL_FULL,
44,col2,1562400,93600,RANK_COL,RANK_COL_FULL2,rank_so_col1,1656000,,,,,,45,45,,RANK_COL_FULL_N,
45,col3,1656000,97100,RANK_COL,RANK_COL_FULL3,rank_so_col1,1753100,,,,,,46,46,,RANK_COL_FULL_N,
46,bgen1,1753100,100600,RANK_BGEN,RANK_BGEN_FULL,rank_so_bgen1,1853700,,,,,,47,47,,RANK_BGEN_FULL,
47,majgen1,1853700,104100,RANK_MAJGEN,RANK_MAJGEN_FULL,rank_so_majgen1,1957800,,,,,,48,48,,RANK_MAJGEN_FULL,
48,ltgen1,1957800,107600,RANK_LTGEN,RANK_LTGEN_FULL,rank_so_ltgen1,2065400,,,,,,49,49,,RANK_LTGEN_FULL,
49,gen1,2065400,111100,RANK_GEN,RANK_GEN_FULL,rank_so_gen1,2176500,,,,,,50,50,,RANK_GEN_FULL,
50,gen1,2176500,7200,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2183700,,,,,,51,51,,RANK_GEN_FULL,
51,gen1,2183700,7500,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2191200,,,,,,52,52,,RANK_GEN_FULL,
52,gen1,2191200,7800,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2199000,,,,,,53,53,,RANK_GEN_FULL,
53,gen1,2199000,8100,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2207100,,,,,,54,54,,RANK_GEN_FULL,
54,gen1,2207100,8400,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2215500,,,,,,55,55,,RANK_GEN_FULL,
55,gen1,2215500,8800,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2224300,,,,,,56,56,,RANK_GEN_FULL,
56,gen1,2224300,9200,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2233500,,,,,,57,57,,RANK_GEN_FULL,
57,gen1,2233500,9600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2243100,,,,,,58,58,,RANK_GEN_FULL,
58,gen1,2243100,10000,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2253100,,,,,,59,59,,RANK_GEN_FULL,
59,gen1,2253100,10500,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2263600,,,,,,60,60,,RANK_GEN_FULL,
60,gen1,2263600,11000,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2274600,,,,,,61,61,,RANK_GEN_FULL,
61,gen1,2274600,12300,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2286900,,,,,,62,62,,RANK_GEN_FULL,
62,gen1,2286900,13600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2300500,,,,,,63,63,,RANK_GEN_FULL,
63,gen1,2300500,14900,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2315400,,,,,,64,64,,RANK_GEN_FULL,
64,gen1,2315400,16200,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2331600,,,,,,65,65,,RANK_GEN_FULL,
65,gen1,2331600,17600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2349200,,,,,,66,66,,RANK_GEN_FULL,
66,gen1,2349200,19000,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2368200,,,,,,67,67,,RANK_GEN_FULL,
67,gen1,2368200,20500,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2388700,,,,,,68,68,,RANK_GEN_FULL,
68,gen1,2388700,22000,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2410700,,,,,,69,69,,RANK_GEN_FULL,
69,gen1,2410700,23500,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2434200,,,,,,70,70,,RANK_GEN_FULL,
70,gen1,2434200,25500,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2459700,,,,,,71,71,,RANK_GEN_FULL,
71,gen1,2459700,27500,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2487200,,,,,,72,72,,RANK_GEN_FULL,
72,gen1,2487200,29600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2516800,,,,,,73,73,,RANK_GEN_FULL,
73,gen1,2516800,31600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2548400,,,,,,74,74,,RANK_GEN_FULL,
74,gen1,2548400,33600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2582000,,,,,,75,75,,RANK_GEN_FULL,
75,gen1,2582000,35600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2617600,,,,,,76,76,,RANK_GEN_FULL,
76,gen1,2617600,38100,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2655700,,,,,,77,77,,RANK_GEN_FULL,
77,gen1,2655700,40600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2696300,,,,,,78,78,,RANK_GEN_FULL,
78,gen1,2696300,43100,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2739400,,,,,,79,79,,RANK_GEN_FULL,
79,gen1,2739400,45600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2785000,,,,,,80,80,,RANK_GEN_FULL,
80,gen1,2785000,48100,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2833100,,,,,,81,81,,RANK_GEN_FULL,
81,gen1,2833100,50600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2883700,,,,,,82,82,,RANK_GEN_FULL,
82,gen1,2883700,53600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2937300,,,,,,83,83,,RANK_GEN_FULL,
83,gen1,2937300,56600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,2993900,,,,,,84,84,,RANK_GEN_FULL,
84,gen1,2993900,59600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,3053500,,,,,,85,85,,RANK_GEN_FULL,
85,gen1,3053500,62600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,3116100,,,,,,86,86,,RANK_GEN_FULL,
86,gen1,3116100,65600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,3181700,,,,,,87,87,,RANK_GEN_FULL,
87,gen1,3181700,69100,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,3250800,,,,,,88,88,,RANK_GEN_FULL,
88,gen1,3250800,72600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,3323400,,,,,,89,89,,RANK_GEN_FULL,
89,gen1,3323400,76100,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,3399500,,,,,,90,90,,RANK_GEN_FULL,
90,gen1,3399500,79600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,3479100,,,,,,91,91,,RANK_GEN_FULL,
91,gen1,3479100,83100,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,3562200,,,,,,92,92,,RANK_GEN_FULL,
92,gen1,3562200,86600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,3648800,,,,,,93,93,,RANK_GEN_FULL,
93,gen1,3648800,90100,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,3738900,,,,,,94,94,,RANK_GEN_FULL,
94,gen1,3738900,93600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,3832500,,,,,,95,95,,RANK_GEN_FULL,
95,gen1,3832500,97100,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,3929600,,,,,,96,96,,RANK_GEN_FULL,
96,gen1,3929600,100600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,4030200,,,,,,97,97,,RANK_GEN_FULL,
97,gen1,4030200,104100,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,4134300,,,,,,98,98,,RANK_GEN_FULL,
98,gen1,4134300,107600,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,4241900,,,,,,99,99,,RANK_GEN_FULL,
99,gen1,4241900,111100,RANK_GEN,RANK_GEN_FULL,rank_prestige_1,4353000,,,,,,100,100,,RANK_GEN_FULL,
100,gen1,4353000,7200,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4360200,,,,,,101,101,,RANK_GEN_FULL,
101,gen1,4360200,7500,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4367700,,,,,,102,102,,RANK_GEN_FULL,
102,gen1,4367700,7800,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4375500,,,,,,103,103,,RANK_GEN_FULL,
103,gen1,4375500,8100,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4383600,,,,,,104,104,,RANK_GEN_FULL,
104,gen1,4383600,8400,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4392000,,,,,,105,105,,RANK_GEN_FULL,
105,gen1,4392000,8800,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4400800,,,,,,106,106,,RANK_GEN_FULL,
106,gen1,4400800,9200,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4410000,,,,,,107,107,,RANK_GEN_FULL,
107,gen1,4410000,9600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4419600,,,,,,108,108,,RANK_GEN_FULL,
108,gen1,4419600,10000,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4429600,,,,,,109,109,,RANK_GEN_FULL,
109,gen1,4429600,10500,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4440100,,,,,,110,110,,RANK_GEN_FULL,
110,gen1,4440100,11000,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4451100,,,,,,111,111,,RANK_GEN_FULL,
111,gen1,4451100,12300,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4463400,,,,,,112,112,,RANK_GEN_FULL,
112,gen1,4463400,13600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4477000,,,,,,113,113,,RANK_GEN_FULL,
113,gen1,4477000,14900,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4491900,,,,,,114,114,,RANK_GEN_FULL,
114,gen1,4491900,16200,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4508100,,,,,,115,115,,RANK_GEN_FULL,
115,gen1,4508100,17600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4525700,,,,,,116,116,,RANK_GEN_FULL,
116,gen1,4525700,19000,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4544700,,,,,,117,117,,RANK_GEN_FULL,
117,gen1,4544700,20500,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4565200,,,,,,118,118,,RANK_GEN_FULL,
118,gen1,4565200,22000,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4587200,,,,,,119,119,,RANK_GEN_FULL,
119,gen1,4587200,23500,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4610700,,,,,,120,120,,RANK_GEN_FULL,
120,gen1,4610700,25500,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4636200,,,,,,121,121,,RANK_GEN_FULL,
121,gen1,4636200,27500,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4663700,,,,,,122,122,,RANK_GEN_FULL,
122,gen1,4663700,29600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4693300,,,,,,123,123,,RANK_GEN_FULL,
123,gen1,4693300,31600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4724900,,,,,,124,124,,RANK_GEN_FULL,
124,gen1,4724900,33600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4758500,,,,,,125,125,,RANK_GEN_FULL,
125,gen1,4758500,35600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4794100,,,,,,126,126,,RANK_GEN_FULL,
126,gen1,4794100,38100,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4832200,,,,,,127,127,,RANK_GEN_FULL,
127,gen1,4832200,40600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4872800,,,,,,128,128,,RANK_GEN_FULL,
128,gen1,4872800,43100,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4915900,,,,,,129,129,,RANK_GEN_FULL,
129,gen1,4915900,45600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,4961500,,,,,,130,130,,RANK_GEN_FULL,
130,gen1,4961500,48100,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5009600,,,,,,131,131,,RANK_GEN_FULL,
131,gen1,5009600,50600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5060200,,,,,,132,132,,RANK_GEN_FULL,
132,gen1,5060200,53600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5113800,,,,,,133,133,,RANK_GEN_FULL,
133,gen1,5113800,56600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5170400,,,,,,134,134,,RANK_GEN_FULL,
134,gen1,5170400,59600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5230000,,,,,,135,135,,RANK_GEN_FULL,
135,gen1,5230000,62600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5292600,,,,,,136,136,,RANK_GEN_FULL,
136,gen1,5292600,65600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5358200,,,,,,137,137,,RANK_GEN_FULL,
137,gen1,5358200,69100,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5427300,,,,,,138,138,,RANK_GEN_FULL,
138,gen1,5427300,72600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5499900,,,,,,139,139,,RANK_GEN_FULL,
139,gen1,5499900,76100,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5576000,,,,,,140,140,,RANK_GEN_FULL,
140,gen1,5576000,79600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5655600,,,,,,141,141,,RANK_GEN_FULL,
141,gen1,5655600,83100,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5738700,,,,,,142,142,,RANK_GEN_FULL,
142,gen1,5738700,86600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5825300,,,,,,143,143,,RANK_GEN_FULL,
143,gen1,5825300,90100,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,5915400,,,,,,144,144,,RANK_GEN_FULL,
144,gen1,5915400,93600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,6009000,,,,,,145,145,,RANK_GEN_FULL,
145,gen1,6009000,97100,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,6106100,,,,,,146,146,,RANK_GEN_FULL,
146,gen1,6106100,100600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,6206700,,,,,,147,147,,RANK_GEN_FULL,
147,gen1,6206700,104100,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,6310800,,,,,,148,148,,RANK_GEN_FULL,
148,gen1,6310800,107600,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,6418400,,,,,,149,149,,RANK_GEN_FULL,
149,gen1,6418400,111100,RANK_GEN,RANK_GEN_FULL,rank_prestige_2,6529500,,,,,,150,150,,RANK_GEN_FULL,
150,gen1,6529500,7200,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6536700,,,,,,151,151,,RANK_GEN_FULL,
151,gen1,6536700,7500,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6544200,,,,,,152,152,,RANK_GEN_FULL,
152,gen1,6544200,7800,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6552000,,,,,,153,153,,RANK_GEN_FULL,
153,gen1,6552000,8100,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6560100,,,,,,154,154,,RANK_GEN_FULL,
154,gen1,6560100,8400,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6568500,,,,,,155,155,,RANK_GEN_FULL,
155,gen1,6568500,8800,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6577300,,,,,,156,156,,RANK_GEN_FULL,
156,gen1,6577300,9200,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6586500,,,,,,157,157,,RANK_GEN_FULL,
157,gen1,6586500,9600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6596100,,,,,,158,158,,RANK_GEN_FULL,
158,gen1,6596100,10000,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6606100,,,,,,159,159,,RANK_GEN_FULL,
159,gen1,6606100,10500,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6616600,,,,,,160,160,,RANK_GEN_FULL,
160,gen1,6616600,11000,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6627600,,,,,,161,161,,RANK_GEN_FULL,
161,gen1,6627600,12300,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6639900,,,,,,162,162,,RANK_GEN_FULL,
162,gen1,6639900,13600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6653500,,,,,,163,163,,RANK_GEN_FULL,
163,gen1,6653500,14900,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6668400,,,,,,164,164,,RANK_GEN_FULL,
164,gen1,6668400,16200,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6684600,,,,,,165,165,,RANK_GEN_FULL,
165,gen1,6684600,17600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6702200,,,,,,166,166,,RANK_GEN_FULL,
166,gen1,6702200,19000,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6721200,,,,,,167,167,,RANK_GEN_FULL,
167,gen1,6721200,20500,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6741700,,,,,,168,168,,RANK_GEN_FULL,
168,gen1,6741700,22000,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6763700,,,,,,169,169,,RANK_GEN_FULL,
169,gen1,6763700,23500,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6787200,,,,,,170,170,,RANK_GEN_FULL,
170,gen1,6787200,25500,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6812700,,,,,,171,171,,RANK_GEN_FULL,
171,gen1,6812700,27500,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6840200,,,,,,172,172,,RANK_GEN_FULL,
172,gen1,6840200,29600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6869800,,,,,,173,173,,RANK_GEN_FULL,
173,gen1,6869800,31600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6901400,,,,,,174,174,,RANK_GEN_FULL,
174,gen1,6901400,33600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6935000,,,,,,175,175,,RANK_GEN_FULL,
175,gen1,6935000,35600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,6970600,,,,,,176,176,,RANK_GEN_FULL,
176,gen1,6970600,38100,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7008700,,,,,,177,177,,RANK_GEN_FULL,
177,gen1,7008700,40600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7049300,,,,,,178,178,,RANK_GEN_FULL,
178,gen1,7049300,43100,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7092400,,,,,,179,179,,RANK_GEN_FULL,
179,gen1,7092400,45600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7138000,,,,,,180,180,,RANK_GEN_FULL,
180,gen1,7138000,48100,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7186100,,,,,,181,181,,RANK_GEN_FULL,
181,gen1,7186100,50600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7236700,,,,,,182,182,,RANK_GEN_FULL,
182,gen1,7236700,53600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7290300,,,,,,183,183,,RANK_GEN_FULL,
183,gen1,7290300,56600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7346900,,,,,,184,184,,RANK_GEN_FULL,
184,gen1,7346900,59600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7406500,,,,,,185,185,,RANK_GEN_FULL,
185,gen1,7406500,62600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7469100,,,,,,186,186,,RANK_GEN_FULL,
186,gen1,7469100,65600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7534700,,,,,,187,187,,RANK_GEN_FULL,
187,gen1,7534700,69100,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7603800,,,,,,188,188,,RANK_GEN_FULL,
188,gen1,7603800,72600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7676400,,,,,,189,189,,RANK_GEN_FULL,
189,gen1,7676400,76100,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7752500,,,,,,190,190,,RANK_GEN_FULL,
190,gen1,7752500,79600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7832100,,,,,,191,191,,RANK_GEN_FULL,
191,gen1,7832100,83100,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,7915200,,,,,,192,192,,RANK_GEN_FULL,
192,gen1,7915200,86600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,8001800,,,,,,193,193,,RANK_GEN_FULL,
193,gen1,8001800,90100,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,8091900,,,,,,194,194,,RANK_GEN_FULL,
194,gen1,8091900,93600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,8185500,,,,,,195,195,,RANK_GEN_FULL,
